model,# taxa,method_long,# sites,# genes,replicate,FN rate,data_revised,method,M2,M3,M4,sites_25,sites_50,sites_100,sites_200,genes_500,genes_1000
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,34,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,35,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,36,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,37,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,38,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,39,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,40,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,41,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,42,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,43,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,44,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,45,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,46,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,47,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,48,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,49,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,100,50,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,1,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,2,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,3,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,4,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,5,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,6,0.625,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,7,0.5,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,8,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,9,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,10,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,11,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,12,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,13,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,14,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,15,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,16,0.75,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,17,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,18,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,19,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,20,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,21,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,22,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,23,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,24,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,25,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,26,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,27,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,28,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,29,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,30,0.5,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,31,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,32,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,33,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,34,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,35,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,36,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,37,0,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,38,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,39,0.5,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,40,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,41,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,42,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,43,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,44,0.5,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,45,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,46,0.25,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,47,0.5,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,48,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,49,0.375,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,njst_fasttree_genetrees,10,100,50,0.125,11-taxon - M1,NJst,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,1,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,2,0.625,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,3,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,4,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,5,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,6,0.375,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,7,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,8,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,9,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,10,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,11,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,12,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,13,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,14,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,15,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,16,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,17,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,18,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,19,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,20,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,21,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,22,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,23,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,24,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,25,0.5,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,26,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,27,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,28,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,29,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,30,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,31,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,32,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,33,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,34,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,35,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,36,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,37,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,38,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,39,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,40,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,41,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,42,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,43,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,44,0.25,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,45,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,46,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,47,0.375,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,48,0.125,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,49,0.5,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,RAxML_bestTree.concatenation_raxml_10runs,10,100,50,0,11-taxon - M1,RAxML,0,0,0,0,0,0,0,0,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,1,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,2,0.375,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,3,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,4,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,5,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,6,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,7,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,8,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,9,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,10,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,11,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,12,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,13,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,14,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,15,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,16,0.5,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,17,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,18,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,19,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,20,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,21,0.125,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,22,0,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
11-taxon_model.10.5400000.0.000000037,11,astral_fasttree_genetrees,10,500,23,0.25,11-taxon - M1,ASTRAL,0,0,0,0,0,0,0,1,0
